,link,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10
87,GWHTISBTCCR001:Bundle-Ether403:Bundle-Ether403:SLLGBCMICCR002,18,98,66,88,170,65,12,479,266,0
88,IMPLWNKIAAR001:Bundle-Ether898:Bundle-Ether898:KOHMNGBZAAR001,70,75,14,47,106,120,94,173,34,0
89,NVMBRCPGCCR001:Bundle-Ether19,12,105,47,133,79,135,44,311,146,0
90,MUMBSAHRAAR001:Bundle-Ether899:Bundle-Ether899:MUMBVWSNAAR001,32,147,85,56,63,47,50,36,90,0
91,DNBDSGDHAAR002:Bundle-Ether897:Bundle-Ether896:GAYAMGVSAAR001,101,66,97,58,43,74,65,247,374,0
92,NVMBRCPGICR001:Bundle-Ether318,108,14,227,24,444,427,577,266,0,0
93,BGLRKDAHAAR001:Bundle-Ether1:Bundle-Ether703:BGLRUPKWCCR001,50,50,62,0,72,212,0,84,0,0
94,BBSRBDGLCCR001:Bundle-Ether360:Bundle-Ether360:NGPRSNGNCCR001,11,51,21,35,56,48,9,422,153,0
95,CHPRRLWCAAR001:Bundle-Ether895:Bundle-Ether895:SSRMADSHAAR001,28,170,46,38,28,16,9,49,213,0
96,BGLRUPKWIAR001:Bundle-Ether301,28,97,72,46,160,82,122,332,112,0
97,SLCRCCHRAAR001:Bundle-Ether3:Bundle-Ether3:SLCRCCHRAAR002,44,124,67,40,48,70,51,85,404,0
98,BGLRGGTAICR001:Bundle-Ether323,23,65,9,52,232,85,351,482,240,0
99,MOUDRAHDCCR001:Bundle-Ether371:Bundle-Ether371:SLPRATMSCCR001,8,23,36,24,13,33,38,89,139,0
